VacancyID,jobTitle,jobCategory,jobFunction,jobLevel,country,stateProvince,city,postalCode,lat,lng,externalURLRet,Distance
111,"Supervisor - Store# 12119, GOLDERS GREEN",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,NW11 8DY,51.57176,-0.19588,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001947&lang=en-GB,
112,"Barista - Store# 12119, GOLDERS GREEN",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,NW11 8DY,51.57176,-0.19588,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001948&lang=en-GB,
113,"Supervisor - Store# 12122, WARDOUR STREET W1",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,W1V 4LA,51.51528,-0.1353,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001949&lang=en-GB,
114,"Barista - Store# 12122, WARDOUR STREET W1",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,W1V 4LA,51.51528,-0.1353,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001950&lang=en-GB,
115,"Supervisor - Store# 12124, EDINBURGH - ROYAL MI",Retail Stores,Shift Supervisor,Team leader,United Kingdom,Scotland,Edinburgh,EH1 1QS,55.94978,-3.1887,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001951&lang=en-GB,
116,"Barista - Store# 12124, EDINBURGH - ROYAL MI",Retail Stores,Barista,Individual contributor,United Kingdom,Scotland,Edinburgh,EH1 1QS,55.94978,-3.1887,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001952&lang=en-GB,
121,"Supervisor - Store# 12131, ENFIELD - CHURCH ST.",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,Enfield,EN2 6AF,51.65228,-0.08344,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001957&lang=en-GB,
122,"Barista - Store# 12131, ENFIELD - CHURCH ST.",Retail Stores,Barista,Individual contributor,United Kingdom,England,Enfield,EN2 6AF,51.65228,-0.08344,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001958&lang=en-GB,
123,"Supervisor - Store# 12138, DUNDEE - OVERGATE",Retail Stores,Shift Supervisor,Team leader,United Kingdom,Scotland,Dundee,DD1 1UG,56.45993,-2.97266,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001959&lang=en-GB,
124,"Barista - Store# 12138, DUNDEE - OVERGATE",Retail Stores,Barista,Individual contributor,United Kingdom,Scotland,Dundee,DD1 1UG,56.45993,-2.97266,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001960&lang=en-GB,
125,"Supervisor - Store# 12139, BELSIZE PARK - HAVER",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,NW3 2AG,51.55082,-0.16497,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001961&lang=en-GB,
126,"Barista - Store# 12139, BELSIZE PARK - HAVER",Retail Stores,Barista,Individual contributor,United Kingdom,England,London,NW3 2AG,51.55082,-0.16497,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001962&lang=en-GB,
127,"Supervisor - Store# 12144, COWCROSS PLACE EC1",Retail Stores,Shift Supervisor,Team leader,United Kingdom,England,London,EC1M 6DQ,51.52024,-0.10343,https://starbucks.taleo.net/careersection/1000222EuroRetail/jobdetail.ftl?job=180001963&lang=en-GB,
